corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	size_ratio	zen_encode_ms	lib_encode_ms	speed_ratio	zen_butter	lib_butter	butter_delta	zen_ssim2	lib_ssim2	ssim2_delta
cid22	962312.png	512	512	Default	75	6	29258	29398	0.995238	33.360	26.606	1.2539	2.4490	2.6113	-0.1623	80.2016	80.2306	-0.0290
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	6	25906	26178	0.989610	30.385	23.918	1.2704	5.9066	5.9093	-0.0027	73.2160	73.6288	-0.4129
cid22	pexels-photo-2908983.png	512	512	Default	75	6	9014	9006	1.000888	21.047	14.876	1.4148	3.4131	3.2443	0.1688	72.0835	70.8440	1.2395
cid22	pexels-photo-4672246.png	512	512	Default	75	6	17618	17828	0.988221	29.503	23.026	1.2813	3.2430	3.3653	-0.1222	70.8244	70.6622	0.1622
cid22	1001682.png	512	512	Default	90	0	72192	98734	0.731177	10.533	7.089	1.4858	1.5394	1.5605	-0.0210	83.1331	83.3756	-0.2425
cid22	1200348.png	512	512	Default	90	0	27952	27162	1.029085	6.531	4.013	1.6274	2.7360	2.8019	-0.0659	82.4762	82.5375	-0.0613
cid22	146083.png	512	512	Default	90	0	93556	92544	1.010935	11.916	8.126	1.4664	1.4368	1.8181	-0.3813	86.8665	86.1797	0.6868
cid22	162511.png	512	512	Default	90	0	113286	109708	1.032614	13.337	8.998	1.4822	1.9816	1.9134	0.0682	82.7241	82.0530	0.6710
cid22	207691.png	512	512	Default	90	0	78352	79240	0.988794	10.706	6.699	1.5980	1.5150	1.6222	-0.1072	81.8262	81.4384	0.3879
cid22	2290070.png	512	512	Default	90	0	39406	38024	1.036345	7.551	4.736	1.5943	1.7208	1.6562	0.0646	83.1577	83.6549	-0.4972
cid22	262780.png	512	512	Default	90	0	77354	83656	0.924668	10.812	7.578	1.4267	1.5937	1.7243	-0.1306	82.8453	82.5292	0.3161
cid22	3316926_opo25u.png	512	512	Default	90	0	30950	29000	1.067241	7.387	4.544	1.6257	1.9440	2.0162	-0.0723	84.6532	84.1038	0.5495
cid22	3779828.png	512	512	Default	90	0	97762	94382	1.035812	12.093	8.032	1.5055	1.5829	1.4611	0.1218	84.4645	84.4745	-0.0099
cid22	5212582.png	512	512	Default	90	0	12230	12100	1.010744	5.542	3.265	1.6975	1.9588	1.9317	0.0271	80.7422	82.2903	-1.5481
cid22	675951.png	512	512	Default	90	0	58804	61856	0.950660	9.316	5.919	1.5740	1.8841	2.1794	-0.2952	83.6976	83.9774	-0.2798
cid22	962312.png	512	512	Default	90	0	48566	47414	1.024297	7.517	5.330	1.4102	1.7031	1.7952	-0.0921	86.7922	86.4547	0.3375
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	90	0	49508	49684	0.996458	7.911	5.687	1.3912	5.6012	5.3614	0.2398	79.2858	79.1096	0.1762
cid22	pexels-photo-2908983.png	512	512	Default	90	0	22954	21612	1.062095	6.374	4.019	1.5861	1.9518	1.8113	0.1405	83.7224	83.1422	0.5802
cid22	pexels-photo-4672246.png	512	512	Default	90	0	46280	44796	1.033128	7.913	5.164	1.5324	1.8540	2.3607	-0.5067	83.0909	82.5969	0.4940
cid22	1001682.png	512	512	Default	90	4	69160	69496	0.995165	23.764	17.924	1.3259	1.4506	1.4375	0.0131	83.3544	83.6842	-0.3298
cid22	1200348.png	512	512	Default	90	4	22976	22554	1.018711	17.162	12.709	1.3503	2.8228	2.3738	0.4491	82.9475	83.1530	-0.2055
cid22	146083.png	512	512	Default	90	4	90608	90454	1.001703	25.998	20.190	1.2877	1.2822	1.2619	0.0203	87.0510	87.0833	-0.0323
cid22	162511.png	512	512	Default	90	4	106584	107264	0.993661	27.365	22.230	1.2310	1.7583	1.7519	0.0064	82.9378	83.0748	-0.1370
cid22	207691.png	512	512	Default	90	4	69734	69630	1.001494	23.666	17.740	1.3340	1.4936	1.6555	-0.1619	81.9058	82.0285	-0.1227
cid22	2290070.png	512	512	Default	90	4	31936	31000	1.030194	18.522	13.963	1.3265	1.5097	1.6060	-0.0963	83.8199	83.4365	0.3833
cid22	262780.png	512	512	Default	90	4	79688	77700	1.025586	25.712	19.347	1.3290	1.5083	1.5549	-0.0466	83.2681	83.4003	-0.1322
cid22	3316926_opo25u.png	512	512	Default	90	4	26612	26626	0.999474	18.932	14.030	1.3494	1.6764	1.8510	-0.1746	85.0674	85.1267	-0.0593
cid22	3779828.png	512	512	Default	90	4	89466	89914	0.995017	24.470	19.106	1.2807	1.5250	1.4047	0.1203	84.4159	84.6282	-0.2122
cid22	5212582.png	512	512	Default	90	4	11808	10466	1.128225	15.329	11.533	1.3292	1.9418	1.9001	0.0417	82.5121	82.5043	0.0078
cid22	675951.png	512	512	Default	90	4	51562	51688	0.997562	21.602	16.342	1.3219	2.0837	1.9856	0.0981	84.1011	83.8064	0.2947
cid22	962312.png	512	512	Default	90	4	44812	44536	1.006197	17.568	14.060	1.2495	1.7340	1.7391	-0.0051	87.3483	87.4688	-0.1205
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	90	4	43468	43600	0.996972	17.982	14.061	1.2789	5.4580	5.4542	0.0037	79.7602	79.8011	-0.0409
