file	width	height	preset	q	m	zen_def_b	zen_strict_b	lib_b	def_butter	strict_butter	lib_butter	def_size_ratio	strict_size_ratio	def_butter_delta	strict_butter_delta
cid22/1089930.png	512	512	Photo	90	0	44066	44066	45808	1.7465	1.7465	2.0587	0.9620	0.9620	-0.3122	-0.3122
cid22/1089930.png	512	512	Photo	90	4	43056	43948	43860	1.6364	1.8479	1.6166	0.9817	1.0020	+0.0199	+0.2313
cid22/1089930.png	512	512	Photo	90	6	41128	41988	42470	1.7282	1.7497	1.7117	0.9684	0.9887	+0.0165	+0.0380
cid22/110472.png	512	512	Default	25	0	14120	14120	16442	9.7178	9.7178	9.1661	0.8588	0.8588	+0.5516	+0.5516
cid22/110472.png	512	512	Default	25	4	11382	11424	11398	10.3874	9.7367	10.2082	0.9986	1.0023	+0.1792	-0.4715
cid22/110472.png	512	512	Default	25	6	11180	11160	11026	8.9236	10.7414	11.0447	1.0140	1.0122	-2.1211	-0.3033
cid22/110472.png	512	512	Default	75	0	27580	27580	31622	5.7033	5.7033	5.8986	0.8722	0.8722	-0.1953	-0.1953
cid22/110472.png	512	512	Default	75	4	23104	23114	23038	5.0628	5.0349	4.7502	1.0029	1.0033	+0.3126	+0.2847
cid22/110472.png	512	512	Default	75	6	22084	22344	22176	5.2995	5.4449	4.7714	0.9959	1.0076	+0.5281	+0.6735
cid22/110472.png	512	512	Default	90	0	44516	44516	52834	4.6694	4.6694	4.2729	0.8426	0.8426	+0.3965	+0.3965
cid22/110472.png	512	512	Default	90	4	44238	44330	43968	4.4335	4.5077	4.1086	1.0061	1.0082	+0.3249	+0.3992
cid22/110472.png	512	512	Default	90	6	43322	43166	42990	4.2719	4.2575	3.9998	1.0077	1.0041	+0.2721	+0.2578
cid22/110472.png	512	512	Photo	25	0	13610	13610	15910	9.1149	9.1149	10.9563	0.8554	0.8554	-1.8415	-1.8415
cid22/110472.png	512	512	Photo	25	4	10882	11062	11034	10.0443	10.1107	9.7227	0.9862	1.0025	+0.3216	+0.3879
cid22/110472.png	512	512	Photo	25	6	10800	10830	10626	9.3775	9.5352	9.2910	1.0164	1.0192	+0.0865	+0.2442
cid22/110472.png	512	512	Photo	75	0	26964	26964	30842	6.0751	6.0751	6.4895	0.8743	0.8743	-0.4144	-0.4144
cid22/110472.png	512	512	Photo	75	4	22504	22578	22520	5.6821	4.8685	5.8432	0.9993	1.0026	-0.1611	-0.9747
cid22/110472.png	512	512	Photo	75	6	21860	21734	21532	5.8206	5.6833	5.6083	1.0152	1.0094	+0.2123	+0.0750
cid22/110472.png	512	512	Photo	90	0	43584	43584	49600	4.5422	4.5422	4.7412	0.8787	0.8787	-0.1990	-0.1990
cid22/110472.png	512	512	Photo	90	4	43618	43700	43272	4.8756	4.5761	4.6487	1.0080	1.0099	+0.2269	-0.0726
cid22/110472.png	512	512	Photo	90	6	41558	42492	42158	4.1854	4.3972	4.5702	0.9858	1.0079	-0.3848	-0.1731
cid22/1129482.png	512	512	Default	25	0	6636	6636	8182	5.2263	5.2263	4.9870	0.8110	0.8110	+0.2393	+0.2393
cid22/1129482.png	512	512	Default	25	4	5114	5142	5024	5.7494	4.7571	4.9117	1.0179	1.0235	+0.8377	-0.1546
cid22/1129482.png	512	512	Default	25	6	4834	4812	4772	5.2365	5.2602	5.1534	1.0130	1.0084	+0.0831	+0.1068
cid22/1129482.png	512	512	Default	75	0	10548	10548	12362	2.9149	2.9149	2.6673	0.8533	0.8533	+0.2476	+0.2476
cid22/1129482.png	512	512	Default	75	4	8812	8722	8628	2.8780	2.9471	3.0047	1.0213	1.0109	-0.1267	-0.0575
cid22/1129482.png	512	512	Default	75	6	8376	8470	8370	2.5185	2.4822	2.5743	1.0007	1.0119	-0.0559	-0.0921
cid22/1129482.png	512	512	Default	90	0	15556	15556	16682	1.3940	1.3940	1.2941	0.9325	0.9325	+0.0999	+0.0999
cid22/1129482.png	512	512	Default	90	4	14812	14880	14726	1.2237	1.2362	1.3462	1.0058	1.0105	-0.1225	-0.1099
cid22/1129482.png	512	512	Default	90	6	14518	14550	14480	1.3008	1.3944	1.3053	1.0026	1.0048	-0.0045	+0.0891
cid22/1129482.png	512	512	Photo	25	0	6084	6084	8100	5.5191	5.5191	4.9944	0.7511	0.7511	+0.5247	+0.5247
cid22/1129482.png	512	512	Photo	25	4	4702	4790	4700	5.0826	5.1078	5.8910	1.0004	1.0191	-0.8084	-0.7832
cid22/1129482.png	512	512	Photo	25	6	4388	4546	4432	5.5357	5.4832	6.5189	0.9901	1.0257	-0.9832	-1.0357
cid22/1129482.png	512	512	Photo	75	0	10090	10090	12256	3.0472	3.0472	2.9237	0.8233	0.8233	+0.1235	+0.1235
cid22/1129482.png	512	512	Photo	75	4	8218	8330	8186	2.6751	2.5206	2.8534	1.0039	1.0176	-0.1782	-0.3327
cid22/1129482.png	512	512	Photo	75	6	7838	7890	7906	2.7088	2.8467	2.9464	0.9914	0.9980	-0.2376	-0.0997
cid22/1129482.png	512	512	Photo	90	0	14022	14022	17406	1.4076	1.4076	1.3738	0.8056	0.8056	+0.0338	+0.0338
cid22/1129482.png	512	512	Photo	90	4	13818	13660	13702	1.5840	1.4462	1.3536	1.0085	0.9969	+0.2304	+0.0926
cid22/1129482.png	512	512	Photo	90	6	13526	13492	13404	1.4695	1.5761	1.5803	1.0091	1.0066	-0.1108	-0.0042
cid22/1130683.png	512	512	Default	25	0	31080	31080	36066	5.1321	5.1321	5.0342	0.8618	0.8618	+0.0979	+0.0979
cid22/1130683.png	512	512	Default	25	4	26708	26944	26888	5.4388	5.4275	5.4975	0.9933	1.0021	-0.0587	-0.0701
cid22/1130683.png	512	512	Default	25	6	24710	25128	25250	5.9468	5.2767	5.0603	0.9786	0.9952	+0.8865	+0.2164
cid22/1130683.png	512	512	Default	75	0	58172	58172	62998	3.7533	3.7533	3.9270	0.9234	0.9234	-0.1737	-0.1737
cid22/1130683.png	512	512	Default	75	4	52434	53058	52722	4.9776	3.7815	3.8604	0.9945	1.0064	+1.1172	-0.0789
cid22/1130683.png	512	512	Default	75	6	50154	50554	50656	4.2663	3.9249	3.9214	0.9901	0.9980	+0.3449	+0.0035
cid22/1130683.png	512	512	Default	90	0	91238	91238	100094	3.5598	3.5598	3.2020	0.9115	0.9115	+0.3577	+0.3577
cid22/1130683.png	512	512	Default	90	4	91206	91590	91270	3.4779	3.3875	3.2837	0.9993	1.0035	+0.1942	+0.1038
cid22/1130683.png	512	512	Default	90	6	88264	88818	89298	3.6617	3.2252	3.5176	0.9884	0.9946	+0.1441	-0.2925
cid22/1130683.png	512	512	Photo	25	0	30262	30262	36402	5.7829	5.7829	5.3187	0.8313	0.8313	+0.4642	+0.4642
cid22/1130683.png	512	512	Photo	25	4	25980	26114	26080	7.0278	6.3362	5.7287	0.9962	1.0013	+1.2990	+0.6075
cid22/1130683.png	512	512	Photo	25	6	23954	24142	24236	7.8918	7.4047	6.7892	0.9884	0.9961	+1.1026	+0.6155
cid22/1130683.png	512	512	Photo	75	0	57678	57678	63488	4.4964	4.4964	3.8376	0.9085	0.9085	+0.6588	+0.6588
cid22/1130683.png	512	512	Photo	75	4	52054	52414	52194	4.0042	4.1473	4.2820	0.9973	1.0042	-0.2778	-0.1348
cid22/1130683.png	512	512	Photo	75	6	49436	49830	50032	4.0173	3.9088	4.1939	0.9881	0.9960	-0.1766	-0.2851
cid22/1130683.png	512	512	Photo	90	0	89846	89846	98636	3.3155	3.3155	3.3485	0.9109	0.9109	-0.0330	-0.0330
cid22/1130683.png	512	512	Photo	90	4	89496	90234	89730	3.1248	3.1295	3.2883	0.9974	1.0056	-0.1636	-0.1588
cid22/1130683.png	512	512	Photo	90	6	86454	87082	87612	3.1440	3.2862	3.3433	0.9868	0.9940	-0.1993	-0.0571
cid22/1147124.png	512	512	Default	25	0	24072	24072	26492	6.0720	6.0720	6.1317	0.9087	0.9087	-0.0597	-0.0597
cid22/1147124.png	512	512	Default	25	4	20140	20154	20210	5.9282	5.7585	6.6269	0.9965	0.9972	-0.6987	-0.8684
cid22/1147124.png	512	512	Default	25	6	19166	19252	19332	6.6925	6.0094	6.1118	0.9914	0.9959	+0.5808	-0.1024
cid22/1147124.png	512	512	Default	75	0	46762	46762	49406	3.3948	3.3948	3.0810	0.9465	0.9465	+0.3139	+0.3139
cid22/1147124.png	512	512	Default	75	4	40502	40758	40480	3.4811	3.0255	2.9546	1.0005	1.0069	+0.5265	+0.0709
cid22/1147124.png	512	512	Default	75	6	38606	38976	38892	3.2071	3.1949	3.1415	0.9926	1.0022	+0.0656	+0.0533
cid22/1147124.png	512	512	Default	90	0	78156	78156	78668	1.8761	1.8761	1.9888	0.9935	0.9935	-0.1127	-0.1127
cid22/1147124.png	512	512	Default	90	4	76740	78282	77930	2.0544	1.8161	1.9660	0.9847	1.0045	+0.0884	-0.1498
cid22/1147124.png	512	512	Default	90	6	74202	75474	75744	1.8913	1.7228	1.8532	0.9796	0.9964	+0.0381	-0.1304
cid22/1147124.png	512	512	Photo	25	0	24260	24260	26538	6.6334	6.6334	6.8272	0.9142	0.9142	-0.1938	-0.1938
